product_rating,total_reviews,purchased_last_month,discounted_price,original_price,is_sponsored,discount_percentage,product_category_Cameras,product_category_Chargers & Cables,product_category_Gaming,product_category_Headphones,product_category_Laptops,product_category_Networking,product_category_Other Electronics,product_category_Phones,product_category_Power & Batteries,product_category_Printers & Scanners,product_category_Smart Home,product_category_Speakers,product_category_Storage,product_category_TV & Display,product_category_Wearables,is_best_seller_Amazon's,is_best_seller_Best Seller,is_best_seller_Ends in,is_best_seller_Limited time deal,is_best_seller_No Badge,is_best_seller_Save 12%,is_best_seller_Save 17%,is_best_seller_Save 18%,is_best_seller_Save 30%,product_category_label,sales_volume,sales_revenue,discount_flag
4.4,1465,50,569.95,569.95,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other Electronics,50,28497.500000000004,No Discount
4.8,48326,40000,19.99,21.44,0,6.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,40000,799599.9999999999,Discounted
4.6,2740,40000,20.69,29.99,0,31.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other Electronics,40000,827600,Discounted
4.8,5591,10000,13.45,13.45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Chargers & Cables,10000,134500,No Discount
4.8,1356,5000,540.75,540.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Laptops,5000,2703750,No Discount
4.5,43204,10000,11.98,11.98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Laptops,10000,119800,No Discount
4.6,885,10000,135,135,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,10000,1350000,No Discount
4.7,14168,10000,149.99,199.99,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,1499900,Discounted
4.3,20039,10000,79.95,99.95,0,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Wearables,10000,799500,Discounted
4.7,18748,10000,103.99,103.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,10000,1039900,No Discount
4.6,2617,10000,166.62,166.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,10000,1666200,No Discount
4.6,23765,20000,55.89,55.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Laptops,20000,1117800,No Discount
4.3,69082,10000,15.68,15.68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phones,10000,156800,No Discount
4.2,5284,2000,29.22,49.99,1,41.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Phones,2000,58440,Discounted
4.4,64543,30000,30.58,33.99,0,10.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Other Electronics,30000,917400,Discounted
